filename,measure
Bartok - Nights Music-001.png,1
Bartok - Nights Music-002.png,8
Bartok - Nights Music-003.png,5
Bartok - Nights Music-004.png,7
Bartok - Nights Music-005.png,9
Bartok - Nights Music-006.png,9
Bartok - Nights Music-007.png,11
Bartok - Nights Music-008.png,12
Bartok - Nights Music-009.png,13
Bartok - Nights Music-010.png,13
Bartok - Nights Music-011.png,14
Bartok - Nights Music-012.png,15
Bartok - Nights Music-013.png,16
Bartok - Nights Music-014.png,18
Bartok - Nights Music-015.png,21
Bartok - Nights Music-016.png,24
Bartok - Nights Music-017.png,27
Bartok - Nights Music-018.png,30
Bartok - Nights Music-019.png,34
Bartok - Nights Music-020.png,35
Bartok - Nights Music-021.png,36
Bartok - Nights Music-022.png,36
Bartok - Nights Music-023.png,39
Bartok - Nights Music-024.png,41
Bartok - Nights Music-025.png,44
Bartok - Nights Music-026.png,46
Bartok - Nights Music-027.png,48
Bartok - Nights Music-028.png,50
Bartok - Nights Music-029.png,54
Bartok - Nights Music-030.png,59
Bartok - Nights Music-031.png,61
Bartok - Nights Music-032.png,63
Bartok - Nights Music-033.png,65
Bartok - Nights Music-034.png,67
Bartok - Nights Music-035.png,68
Bartok - Nights Music-036.png,69
Bartok - Nights Music-037.png,69
Bartok - Nights Music-038.png,71
