filename,measure
Beethoven - Diabelli Variation XXXI-001.png,1
Beethoven - Diabelli Variation XXXI-002.png,2
Beethoven - Diabelli Variation XXXI-003.png,3
Beethoven - Diabelli Variation XXXI-004.png,4
Beethoven - Diabelli Variation XXXI-005.png,5
Beethoven - Diabelli Variation XXXI-006.png,5
Beethoven - Diabelli Variation XXXI-007.png,6
Beethoven - Diabelli Variation XXXI-008.png,7
Beethoven - Diabelli Variation XXXI-009.png,7
Beethoven - Diabelli Variation XXXI-011.png,8
Beethoven - Diabelli Variation XXXI-012.png,9
Beethoven - Diabelli Variation XXXI-013.png,10
Beethoven - Diabelli Variation XXXI-015.png,12
Beethoven - Diabelli Variation XXXI-017.png,14
