filename,measure
Chopin - Etude Op 10 no 11-001.png,1.0
Chopin - Etude Op 10 no 11-002.png,8.0
Chopin - Etude Op 10 no 11-003.png,6.0
Chopin - Etude Op 10 no 11-004.png,8.0
Chopin - Etude Op 10 no 11-005.png,10.0
Chopin - Etude Op 10 no 11-006.png,18.0
Chopin - Etude Op 10 no 11-007.png,15.0
Chopin - Etude Op 10 no 11-008.png,17.0
Chopin - Etude Op 10 no 11-009.png,20.0
Chopin - Etude Op 10 no 11-010.png,23.0
Chopin - Etude Op 10 no 11-011.png,26.0
Chopin - Etude Op 10 no 11-012.png,29.0
Chopin - Etude Op 10 no 11-013.png,32.0
Chopin - Etude Op 10 no 11-014.png,34.0
Chopin - Etude Op 10 no 11-015.png,36.0
Chopin - Etude Op 10 no 11-016.png,38.0
Chopin - Etude Op 10 no 11-017.png,40.0
Chopin - Etude Op 10 no 11-018.png,43.0
Chopin - Etude Op 10 no 11-019.png,46.0
Chopin - Etude Op 10 no 11-020.png,49.0
Chopin - Etude Op 10 no 11-021.png,62.0
,51.0
