filename,measure
Chopin - Etude Op 10 no 1-001.png,"176"
Chopin - Etude Op 10 no 1-002.png,"3"
Chopin - Etude Op 10 no 1-003.png,"5"
Chopin - Etude Op 10 no 1-004.png,"7"
Chopin - Etude Op 10 no 1-005.png,"9"
Chopin - Etude Op 10 no 1-006.png,"11"
Chopin - Etude Op 10 no 1-007.png,"18"
Chopin - Etude Op 10 no 1-008.png,"46"
Chopin - Etude Op 10 no 1-009.png,"17"
Chopin - Etude Op 10 no 1-010.png,"49"
Chopin - Etude Op 10 no 1-011.png,"21"
Chopin - Etude Op 10 no 1-012.png,"23"
Chopin - Etude Op 10 no 1-013.png,"25"
Chopin - Etude Op 10 no 1-014.png,"27"
Chopin - Etude Op 10 no 1-015.png,"29"
Chopin - Etude Op 10 no 1-016.png,"3"
Chopin - Etude Op 10 no 1-017.png,"383"
Chopin - Etude Op 10 no 1-018.png,"35"
Chopin - Etude Op 10 no 1-019.png,"37"
Chopin - Etude Op 10 no 1-020.png,"39"
Chopin - Etude Op 10 no 1-021.png,"41"
Chopin - Etude Op 10 no 1-022.png,"43"
Chopin - Etude Op 10 no 1-023.png,"45"
Chopin - Etude Op 10 no 1-024.png,"47"
Chopin - Etude Op 10 no 1-025.png,"49"
Chopin - Etude Op 10 no 1-026.png,"1"
Chopin - Etude Op 10 no 1-027.png,"53"
Chopin - Etude Op 10 no 1-028.png,"55"
Chopin - Etude Op 10 no 1-029.png,"7"
Chopin - Etude Op 10 no 1-030.png,"59"
Chopin - Etude Op 10 no 1-031.png,"61"
Chopin - Etude Op 10 no 1-032.png,"63"
Chopin - Etude Op 10 no 1-033.png,"65"
Chopin - Etude Op 10 no 1-034.png,"67"
Chopin - Etude Op 10 no 1-035.png,"69"
Chopin - Etude Op 10 no 1-036.png,"71"
Chopin - Etude Op 10 no 1-037.png,"78"
Chopin - Etude Op 10 no 1-038.png,"70"
Chopin - Etude Op 10 no 1-039.png,"77"
