filename,measure
Delius - String Quartet mvt III-001.png,"721"
Delius - String Quartet mvt III-002.png,"[1, 1]"
Delius - String Quartet mvt III-003.png,"[1, 1]"
Delius - String Quartet mvt III-004.png,"[1, 1]"
Delius - String Quartet mvt III-005.png,"[1, 1]"
Delius - String Quartet mvt III-006.png,"[1, 1]"
Delius - String Quartet mvt III-007.png,"[1, 1]"
Delius - String Quartet mvt III-008.png,"[1, 1]"
Delius - String Quartet mvt III-009.png,"[1, 1]"
Delius - String Quartet mvt III-010.png,"[1, 1]"
Delius - String Quartet mvt III-011.png,"[1, 1]"
Delius - String Quartet mvt III-012.png,"[1, 1]"
Delius - String Quartet mvt III-013.png,"[1, 1]"
Delius - String Quartet mvt III-014.png,"[1, 1, 1]"
Delius - String Quartet mvt III-015.png,"[1, 1]"
Delius - String Quartet mvt III-016.png,"[1, 1]"
Delius - String Quartet mvt III-017.png,"[1, 1]"
Delius - String Quartet mvt III-018.png,"[1, 1]"
Delius - String Quartet mvt III-020.png,"[1, 1]"
Delius - String Quartet mvt III-021.png,"[1, 1]"
Delius - String Quartet mvt III-022.png,"[1, 1]"
Delius - String Quartet mvt III-023.png,"[1, 1]"
Delius - String Quartet mvt III-024.png,"[1, 1]"
Delius - String Quartet mvt III-025.png,"[1, 1]"
Delius - String Quartet mvt III-026.png,"[1, 1]"
Delius - String Quartet mvt III-028.png,"[1, 1]"
Delius - String Quartet mvt III-029.png,"1"
Delius - String Quartet mvt III-030.png,"[1, 1]"
Delius - String Quartet mvt III-031.png,"[1, 1]"
Delius - String Quartet mvt III-032.png,"[2, 1]"
Delius - String Quartet mvt III-033.png,"[1, 1]"
Delius - String Quartet mvt III-034.png,"[1, 1, 1]"
Delius - String Quartet mvt III-035.png,"[1, 1]"
Delius - String Quartet mvt III-036.png,"[1, 1]"
Delius - String Quartet mvt III-037.png,"[1, 1]"
