filename,measure
Reger - Improvisationen 7-001.png,"1"
Reger - Improvisationen 7-002.png,"3"
Reger - Improvisationen 7-003.png,"6"
Reger - Improvisationen 7-004.png,"9"
Reger - Improvisationen 7-005.png,"11"
Reger - Improvisationen 7-006.png,"13"
Reger - Improvisationen 7-007.png,"15"
Reger - Improvisationen 7-008.png,"17"
Reger - Improvisationen 7-009.png,"19"
Reger - Improvisationen 7-010.png,"22"
Reger - Improvisationen 7-011.png,"26"
Reger - Improvisationen 7-012.png,"28"
Reger - Improvisationen 7-013.png,"30"
Reger - Improvisationen 7-014.png,"32"
Reger - Improvisationen 7-015.png,"34"
Reger - Improvisationen 7-016.png,"36"
Reger - Improvisationen 7-017.png,"38"
Reger - Improvisationen 7-018.png,"41"
Reger - Improvisationen 7-019.png,"43"
Reger - Improvisationen 7-020.png,"45"
Reger - Improvisationen 7-021.png,"48"
Reger - Improvisationen 7-022.png,"51"
Reger - Improvisationen 7-023.png,"53"
Reger - Improvisationen 7-024.png,"55"
Reger - Improvisationen 7-025.png,"57"
Reger - Improvisationen 7-026.png,"59"
Reger - Improvisationen 7-027.png,"62"
