filename,measure
Reger - Introduction-001.png,"64"
Reger - Introduction-002.png,"[6, 3]"
Reger - Introduction-003.png,"[7, 5]"
Reger - Introduction-005.png,"1"
Reger - Introduction-006.png,"7"
Reger - Introduction-007.png,"8"
Reger - Introduction-008.png,"10"
Reger - Introduction-009.png,"12"
Reger - Introduction-010.png,"14"
Reger - Introduction-011.png,"[15, 8]"
Reger - Introduction-012.png,"[16, 4]"
Reger - Introduction-013.png,"17"
Reger - Introduction-014.png,"18"
Reger - Introduction-015.png,"19"
Reger - Introduction-016.png,"20"
Reger - Introduction-018.png,"22"
Reger - Introduction-019.png,"23"
Reger - Introduction-020.png,"24"
Reger - Introduction-021.png,"25"
Reger - Introduction-022.png,"[7, 27]"
Reger - Introduction-023.png,"29"
Reger - Introduction-024.png,"31"
Reger - Introduction-025.png,"34"
Reger - Introduction-026.png,"36"
