filename,measure
Schumann - String Quartet 1 mvt 3-001.png,"1"
Schumann - String Quartet 1 mvt 3-002.png,"3"
Schumann - String Quartet 1 mvt 3-003.png,"5"
Schumann - String Quartet 1 mvt 3-004.png,"7"
Schumann - String Quartet 1 mvt 3-005.png,"9"
Schumann - String Quartet 1 mvt 3-006.png,"11"
Schumann - String Quartet 1 mvt 3-007.png,"13"
Schumann - String Quartet 1 mvt 3-008.png,"15"
Schumann - String Quartet 1 mvt 3-009.png,"17"
Schumann - String Quartet 1 mvt 3-010.png,"19"
Schumann - String Quartet 1 mvt 3-011.png,"21"
Schumann - String Quartet 1 mvt 3-012.png,"23"
Schumann - String Quartet 1 mvt 3-013.png,"25"
Schumann - String Quartet 1 mvt 3-014.png,"27"
Schumann - String Quartet 1 mvt 3-015.png,"30"
Schumann - String Quartet 1 mvt 3-016.png,"32"
Schumann - String Quartet 1 mvt 3-017.png,"34"
Schumann - String Quartet 1 mvt 3-018.png,"36"
Schumann - String Quartet 1 mvt 3-019.png,"38"
Schumann - String Quartet 1 mvt 3-020.png,"39"
Schumann - String Quartet 1 mvt 3-021.png,"40"
Schumann - String Quartet 1 mvt 3-022.png,"42"
Schumann - String Quartet 1 mvt 3-023.png,"44"
Schumann - String Quartet 1 mvt 3-024.png,"46"
Schumann - String Quartet 1 mvt 3-025.png,"48"
Schumann - String Quartet 1 mvt 3-026.png,"50"
Schumann - String Quartet 1 mvt 3-027.png,"52"
Schumann - String Quartet 1 mvt 3-028.png,"53"
Schumann - String Quartet 1 mvt 3-029.png,"54"
Schumann - String Quartet 1 mvt 3-030.png,"56"
Schumann - String Quartet 1 mvt 3-031.png,"58"
Schumann - String Quartet 1 mvt 3-032.png,"60"
Schumann - String Quartet 1 mvt 3-033.png,"62"
Schumann - String Quartet 1 mvt 3-034.png,"64"
Schumann - String Quartet 1 mvt 3-035.png,"66"
