filename,measure
accidental tucking-001.png,"1"
accidental tucking-002.png,"4"
accidental tucking-003.png,"6"
accidental tucking-004.png,"8"
accidental tucking-005.png,"10"
accidental tucking-006.png,"13"
accidental tucking-007.png,"15"
accidental tucking-008.png,"17"
accidental tucking-009.png,"49"
accidental tucking-010.png,"21"
accidental tucking-011.png,"23"
accidental tucking-012.png,"25"
accidental tucking-013.png,"28"
accidental tucking-014.png,"31"
accidental tucking-015.png,"34"
accidental tucking-016.png,"39"
accidental tucking-017.png,"43"
accidental tucking-018.png,"46"
