filename,measure
accidentals mid-bar key signatures-001.png,"1"
accidentals mid-bar key signatures-002.png,"6"
accidentals mid-bar key signatures-003.png,"11"
accidentals mid-bar key signatures-004.png,"16"
accidentals mid-bar key signatures-005.png,"21"
accidentals mid-bar key signatures-006.png,"26"
accidentals mid-bar key signatures-007.png,"31"
accidentals mid-bar key signatures-008.png,"36"
accidentals mid-bar key signatures-009.png,"41"
accidentals mid-bar key signatures-010.png,"46"
accidentals mid-bar key signatures-011.png,"51"
accidentals mid-bar key signatures-012.png,"56"
accidentals mid-bar key signatures-013.png,"61"
