filename,measure
beam groups 12 demisemiquavers simple-001.png,"11"
beam groups 12 demisemiquavers simple-002.png,"4"
beam groups 12 demisemiquavers simple-003.png,"7"
beam groups 12 demisemiquavers simple-004.png,"10"
beam groups 12 demisemiquavers simple-005.png,"13"
beam groups 12 demisemiquavers simple-006.png,"16"
beam groups 12 demisemiquavers simple-007.png,"19"
beam groups 12 demisemiquavers simple-008.png,"22"
beam groups 12 demisemiquavers simple-009.png,"25"
beam groups 12 demisemiquavers simple-010.png,"[2, 28]"
beam groups 12 demisemiquavers simple-011.png,"31"
beam groups 12 demisemiquavers simple-012.png,"34"
beam groups 12 demisemiquavers simple-013.png,"37"
beam groups 12 demisemiquavers simple-014.png,"40"
beam groups 12 demisemiquavers simple-015.png,"43"
beam groups 12 demisemiquavers simple-016.png,"46"
beam groups 12 demisemiquavers simple-017.png,"49"
beam groups 12 demisemiquavers simple-018.png,"52"
beam groups 12 demisemiquavers simple-019.png,"58"
beam groups 12 demisemiquavers simple-020.png,"58"
beam groups 12 demisemiquavers simple-021.png,"61"
beam groups 12 demisemiquavers simple-022.png,"64"
beam groups 12 demisemiquavers simple-023.png,"67"
beam groups 12 demisemiquavers simple-024.png,"70"
beam groups 12 demisemiquavers simple-025.png,"73"
beam groups 12 demisemiquavers simple-026.png,"76"
beam groups 12 demisemiquavers simple-027.png,"79"
beam groups 12 demisemiquavers simple-028.png,"82"
beam groups 12 demisemiquavers simple-029.png,"85"
beam groups 12 demisemiquavers simple-030.png,"88"
beam groups 12 demisemiquavers simple-031.png,"91"
beam groups 12 demisemiquavers simple-032.png,"94"
beam groups 12 demisemiquavers simple-033.png,"97"
beam groups 12 demisemiquavers simple-034.png,"100"
beam groups 12 demisemiquavers simple-035.png,"103"
beam groups 12 demisemiquavers simple-036.png,"106"
beam groups 12 demisemiquavers simple-037.png,"109"
beam groups 12 demisemiquavers simple-038.png,"112"
beam groups 12 demisemiquavers simple-039.png,"115"
beam groups 12 demisemiquavers simple-040.png,"118"
beam groups 12 demisemiquavers simple-041.png,"121"
beam groups 12 demisemiquavers simple-042.png,"124"
beam groups 12 demisemiquavers simple-043.png,"127"
beam groups 12 demisemiquavers simple-044.png,"130"
beam groups 12 demisemiquavers simple-045.png,"133"
beam groups 12 demisemiquavers simple-046.png,"136"
beam groups 12 demisemiquavers simple-047.png,"1389"
beam groups 12 demisemiquavers simple-048.png,"142"
beam groups 12 demisemiquavers simple-049.png,"145"
beam groups 12 demisemiquavers simple-050.png,"148"
beam groups 12 demisemiquavers simple-051.png,"151"
beam groups 12 demisemiquavers simple-052.png,"154"
beam groups 12 demisemiquavers simple-053.png,"157"
