filename,measure
beam groups 12 semiquavers compound-001.png,1
beam groups 12 semiquavers compound-002.png,6
beam groups 12 semiquavers compound-003.png,11
beam groups 12 semiquavers compound-004.png,16
beam groups 12 semiquavers compound-005.png,21
beam groups 12 semiquavers compound-006.png,25
beam groups 12 semiquavers compound-007.png,29
beam groups 12 semiquavers compound-008.png,34
beam groups 12 semiquavers compound-009.png,38
beam groups 12 semiquavers compound-010.png,42
beam groups 12 semiquavers compound-011.png,46
beam groups 12 semiquavers compound-012.png,51
beam groups 12 semiquavers compound-013.png,56
beam groups 12 semiquavers compound-014.png,61
beam groups 12 semiquavers compound-015.png,65
beam groups 12 semiquavers compound-016.png,69
beam groups 12 semiquavers compound-017.png,73
beam groups 12 semiquavers compound-018.png,77
beam groups 12 semiquavers compound-019.png,81
beam groups 12 semiquavers compound-020.png,84
beam groups 12 semiquavers compound-021.png,87
beam groups 12 semiquavers compound-022.png,90
beam groups 12 semiquavers compound-023.png,93
beam groups 12 semiquavers compound-024.png,96
beam groups 12 semiquavers compound-025.png,100
beam groups 12 semiquavers compound-026.png,103
beam groups 12 semiquavers compound-027.png,106
beam groups 12 semiquavers compound-028.png,109
beam groups 12 semiquavers compound-029.png,112
beam groups 12 semiquavers compound-030.png,116
beam groups 12 semiquavers compound-031.png,119
beam groups 12 semiquavers compound-032.png,122
beam groups 12 semiquavers compound-033.png,125
beam groups 12 semiquavers compound-034.png,129
beam groups 12 semiquavers compound-035.png,133
beam groups 12 semiquavers compound-036.png,137
beam groups 12 semiquavers compound-037.png,141
beam groups 12 semiquavers compound-038.png,145
beam groups 12 semiquavers compound-039.png,148
beam groups 12 semiquavers compound-040.png,151
beam groups 12 semiquavers compound-041.png,154
beam groups 12 semiquavers compound-042.png,157
beam groups 12 semiquavers compound-043.png,160
beam groups 12 semiquavers compound-044.png,164
beam groups 12 semiquavers compound-045.png,167
beam groups 12 semiquavers compound-046.png,170
beam groups 12 semiquavers compound-047.png,178
beam groups 12 semiquavers compound-048.png,176
beam groups 12 semiquavers compound-049.png,180
beam groups 12 semiquavers compound-050.png,183
beam groups 12 semiquavers compound-051.png,186
beam groups 12 semiquavers compound-052.png,189
beam groups 12 semiquavers compound-053.png,193
beam groups 12 semiquavers compound-054.png,197
beam groups 12 semiquavers compound-055.png,201
beam groups 12 semiquavers compound-056.png,205
beam groups 12 semiquavers compound-057.png,209
beam groups 12 semiquavers compound-058.png,213
beam groups 12 semiquavers compound-059.png,216
beam groups 12 semiquavers compound-060.png,220
beam groups 12 semiquavers compound-061.png,223
beam groups 12 semiquavers compound-062.png,227
beam groups 12 semiquavers compound-063.png,2380
beam groups 12 semiquavers compound-064.png,2383
beam groups 12 semiquavers compound-065.png,236
beam groups 12 semiquavers compound-066.png,2389
beam groups 12 semiquavers compound-067.png,243
beam groups 12 semiquavers compound-068.png,246
beam groups 12 semiquavers compound-069.png,250
beam groups 12 semiquavers compound-070.png,258
beam groups 12 semiquavers compound-071.png,257
beam groups 12 semiquavers compound-072.png,261
beam groups 12 semiquavers compound-073.png,265
beam groups 12 semiquavers compound-074.png,269
beam groups 12 semiquavers compound-075.png,278
beam groups 12 semiquavers compound-076.png,276
beam groups 12 semiquavers compound-077.png,279
beam groups 12 semiquavers compound-078.png,282
beam groups 12 semiquavers compound-079.png,285
beam groups 12 semiquavers compound-080.png,288
beam groups 12 semiquavers compound-081.png,292
beam groups 12 semiquavers compound-082.png,295
beam groups 12 semiquavers compound-083.png,298
beam groups 12 semiquavers compound-084.png,301
beam groups 12 semiquavers compound-085.png,304
beam groups 12 semiquavers compound-086.png,308
beam groups 12 semiquavers compound-087.png,311
beam groups 12 semiquavers compound-088.png,314
beam groups 12 semiquavers compound-089.png,317
beam groups 12 semiquavers compound-090.png,321
beam groups 12 semiquavers compound-091.png,324
beam groups 12 semiquavers compound-092.png,327
beam groups 12 semiquavers compound-093.png,330
beam groups 12 semiquavers compound-094.png,333
beam groups 12 semiquavers compound-095.png,336
beam groups 12 semiquavers compound-096.png,339
beam groups 12 semiquavers compound-097.png,342
beam groups 12 semiquavers compound-098.png,345
beam groups 12 semiquavers compound-099.png,348
beam groups 12 semiquavers compound-100.png,361
beam groups 12 semiquavers compound-1000.png,3164
beam groups 12 semiquavers compound-1001.png,3167
beam groups 12 semiquavers compound-1002.png,3170
beam groups 12 semiquavers compound-1003.png,3173
beam groups 12 semiquavers compound-1004.png,3176
beam groups 12 semiquavers compound-1005.png,3179
beam groups 12 semiquavers compound-1006.png,3182
beam groups 12 semiquavers compound-1007.png,3185
beam groups 12 semiquavers compound-1008.png,3188
beam groups 12 semiquavers compound-1009.png,3191
beam groups 12 semiquavers compound-101.png,354
beam groups 12 semiquavers compound-1010.png,3194
beam groups 12 semiquavers compound-1011.png,3197
beam groups 12 semiquavers compound-1012.png,38200
beam groups 12 semiquavers compound-1013.png,3204
beam groups 12 semiquavers compound-1014.png,3207
beam groups 12 semiquavers compound-1015.png,38210
beam groups 12 semiquavers compound-1016.png,38213
beam groups 12 semiquavers compound-1017.png,3216
beam groups 12 semiquavers compound-1018.png,38219
beam groups 12 semiquavers compound-1019.png,3222
beam groups 12 semiquavers compound-102.png,357
beam groups 12 semiquavers compound-1020.png,3225
beam groups 12 semiquavers compound-1021.png,3228
beam groups 12 semiquavers compound-1022.png,3231
beam groups 12 semiquavers compound-1023.png,32384
beam groups 12 semiquavers compound-1024.png,3237
beam groups 12 semiquavers compound-1025.png,3240
beam groups 12 semiquavers compound-1026.png,3243
beam groups 12 semiquavers compound-1027.png,3246
beam groups 12 semiquavers compound-1028.png,3249
beam groups 12 semiquavers compound-1029.png,3252
beam groups 12 semiquavers compound-103.png,360
beam groups 12 semiquavers compound-1030.png,3255
beam groups 12 semiquavers compound-1031.png,3258
beam groups 12 semiquavers compound-1032.png,3261
beam groups 12 semiquavers compound-1033.png,3264
beam groups 12 semiquavers compound-1034.png,3268
beam groups 12 semiquavers compound-1035.png,3271
beam groups 12 semiquavers compound-1036.png,3274
beam groups 12 semiquavers compound-1037.png,3277
beam groups 12 semiquavers compound-1038.png,3281
beam groups 12 semiquavers compound-1039.png,3284
beam groups 12 semiquavers compound-104.png,363
beam groups 12 semiquavers compound-1040.png,3287
beam groups 12 semiquavers compound-1041.png,38290
beam groups 12 semiquavers compound-1042.png,38293
beam groups 12 semiquavers compound-1043.png,3296
beam groups 12 semiquavers compound-1044.png,38299
beam groups 12 semiquavers compound-1045.png,3302
beam groups 12 semiquavers compound-1046.png,3305
beam groups 12 semiquavers compound-1047.png,3308
beam groups 12 semiquavers compound-1048.png,3311
beam groups 12 semiquavers compound-1049.png,3314
beam groups 12 semiquavers compound-105.png,366
beam groups 12 semiquavers compound-1050.png,3317
beam groups 12 semiquavers compound-1051.png,3320
beam groups 12 semiquavers compound-1052.png,3323
beam groups 12 semiquavers compound-1053.png,3326
beam groups 12 semiquavers compound-1054.png,3330
beam groups 12 semiquavers compound-1055.png,3333
beam groups 12 semiquavers compound-1056.png,33386
beam groups 12 semiquavers compound-1057.png,3339
beam groups 12 semiquavers compound-1058.png,3342
beam groups 12 semiquavers compound-1059.png,3345
beam groups 12 semiquavers compound-106.png,369
beam groups 12 semiquavers compound-1060.png,3348
beam groups 12 semiquavers compound-1061.png,3361
beam groups 12 semiquavers compound-1062.png,3354
beam groups 12 semiquavers compound-1063.png,3357
beam groups 12 semiquavers compound-1064.png,3360
beam groups 12 semiquavers compound-1065.png,3363
beam groups 12 semiquavers compound-1066.png,3366
beam groups 12 semiquavers compound-1067.png,3369
beam groups 12 semiquavers compound-1068.png,3372
beam groups 12 semiquavers compound-1069.png,3375
beam groups 12 semiquavers compound-107.png,372
beam groups 12 semiquavers compound-1070.png,3378
beam groups 12 semiquavers compound-1071.png,3381
beam groups 12 semiquavers compound-1072.png,3384
beam groups 12 semiquavers compound-1073.png,3387
beam groups 12 semiquavers compound-1074.png,3390
beam groups 12 semiquavers compound-1075.png,38393
beam groups 12 semiquavers compound-1076.png,3396
beam groups 12 semiquavers compound-1077.png,3399
beam groups 12 semiquavers compound-1078.png,3402
beam groups 12 semiquavers compound-1079.png,3405
beam groups 12 semiquavers compound-108.png,375
beam groups 12 semiquavers compound-1080.png,3408
beam groups 12 semiquavers compound-1081.png,3411
beam groups 12 semiquavers compound-1082.png,3414
beam groups 12 semiquavers compound-1083.png,3417
beam groups 12 semiquavers compound-1084.png,3420
beam groups 12 semiquavers compound-1085.png,3423
beam groups 12 semiquavers compound-1086.png,3426
beam groups 12 semiquavers compound-1087.png,3429
beam groups 12 semiquavers compound-1088.png,34382
beam groups 12 semiquavers compound-1089.png,34385
beam groups 12 semiquavers compound-109.png,378
beam groups 12 semiquavers compound-1090.png,3438
beam groups 12 semiquavers compound-1091.png,3441
beam groups 12 semiquavers compound-1092.png,3444
beam groups 12 semiquavers compound-1093.png,3447
beam groups 12 semiquavers compound-1094.png,3450
beam groups 12 semiquavers compound-1095.png,3483
beam groups 12 semiquavers compound-1096.png,3456
beam groups 12 semiquavers compound-1097.png,3460
beam groups 12 semiquavers compound-1098.png,3463
beam groups 12 semiquavers compound-1099.png,3466
beam groups 12 semiquavers compound-110.png,381
beam groups 12 semiquavers compound-1100.png,3469
beam groups 12 semiquavers compound-1101.png,3472
beam groups 12 semiquavers compound-1102.png,3475
beam groups 12 semiquavers compound-1103.png,3478
beam groups 12 semiquavers compound-1104.png,3481
beam groups 12 semiquavers compound-1105.png,3484
beam groups 12 semiquavers compound-1106.png,3487
beam groups 12 semiquavers compound-1107.png,3490
beam groups 12 semiquavers compound-1108.png,3493
beam groups 12 semiquavers compound-1109.png,3496
beam groups 12 semiquavers compound-111.png,384
beam groups 12 semiquavers compound-1110.png,3499
beam groups 12 semiquavers compound-1111.png,3502
beam groups 12 semiquavers compound-1112.png,3505
beam groups 12 semiquavers compound-1113.png,3508
beam groups 12 semiquavers compound-1114.png,3511
beam groups 12 semiquavers compound-1115.png,3514
beam groups 12 semiquavers compound-1116.png,3517
beam groups 12 semiquavers compound-1117.png,3520
beam groups 12 semiquavers compound-1118.png,3524
beam groups 12 semiquavers compound-1119.png,391
beam groups 12 semiquavers compound-112.png,388
beam groups 12 semiquavers compound-1120.png,35380
beam groups 12 semiquavers compound-1121.png,385383
beam groups 12 semiquavers compound-1122.png,35386
beam groups 12 semiquavers compound-1123.png,385389
