filename,measure
beam stem weight notes 1-001.png,1
beam stem weight notes 1-002.png,5
beam stem weight notes 1-003.png,40
beam stem weight notes 1-004.png,45
beam stem weight notes 1-005.png,26
beam stem weight notes 1-006.png,25
beam stem weight notes 1-007.png,80
beam stem weight notes 1-008.png,34
beam stem weight notes 1-009.png,87
beam stem weight notes 1-010.png,40
beam stem weight notes 1-011.png,43
beam stem weight notes 1-012.png,4
beam stem weight notes 1-013.png,49
beam stem weight notes 1-014.png,62
beam stem weight notes 1-015.png,55
beam stem weight notes 1-016.png,58
beam stem weight notes 1-017.png,61
beam stem weight notes 1-018.png,63
beam stem weight notes 1-019.png,65
beam stem weight notes 1-020.png,67
beam stem weight notes 1-021.png,69
beam stem weight notes 1-022.png,71
beam stem weight notes 1-023.png,78
beam stem weight notes 1-024.png,73
beam stem weight notes 1-025.png,7
beam stem weight notes 1-026.png,79
beam stem weight notes 1-027.png,81
beam stem weight notes 1-028.png,83
beam stem weight notes 1-029.png,85
beam stem weight notes 1-030.png,87
beam stem weight notes 1-031.png,89
beam stem weight notes 1-032.png,91
beam stem weight notes 1-033.png,93
beam stem weight notes 1-034.png,95
beam stem weight notes 1-035.png,97
beam stem weight notes 1-036.png,99
beam stem weight notes 1-037.png,101
beam stem weight notes 1-038.png,103
beam stem weight notes 1-039.png,105
beam stem weight notes 1-040.png,107
