filename,measure
beam subdivisions crotchet unit-001.png,"1"
beam subdivisions crotchet unit-002.png,"2"
beam subdivisions crotchet unit-003.png,"2"
beam subdivisions crotchet unit-004.png,"2"
beam subdivisions crotchet unit-005.png,"2"
beam subdivisions crotchet unit-006.png,"2"
beam subdivisions crotchet unit-007.png,"2"
beam subdivisions crotchet unit-008.png,"2"
beam subdivisions crotchet unit-009.png,"2"
beam subdivisions crotchet unit-010.png,"2"
beam subdivisions crotchet unit-011.png,"2"
