filename,measure
beam subdivisions quaver unit-001.png,"1"
beam subdivisions quaver unit-002.png,"2"
beam subdivisions quaver unit-003.png,"2"
beam subdivisions quaver unit-004.png,"2"
beam subdivisions quaver unit-005.png,"2"
beam subdivisions quaver unit-006.png,"2"
beam subdivisions quaver unit-007.png,"2"
beam subdivisions quaver unit-008.png,"2"
beam subdivisions quaver unit-009.png,"2"
beam subdivisions quaver unit-010.png,"2"
beam subdivisions quaver unit-011.png,"2"
beam subdivisions quaver unit-012.png,"2"
beam subdivisions quaver unit-013.png,"2"
beam subdivisions quaver unit-014.png,"2"
beam subdivisions quaver unit-015.png,"2"
beam subdivisions quaver unit-016.png,"2"
beam subdivisions quaver unit-017.png,"2"
beam subdivisions quaver unit-018.png,"2"
beam subdivisions quaver unit-019.png,"2"
beam subdivisions quaver unit-020.png,"2"
beam subdivisions quaver unit-021.png,"2"
beam subdivisions quaver unit-022.png,"2"
beam subdivisions quaver unit-023.png,"2"
beam subdivisions quaver unit-024.png,"2"
beam subdivisions quaver unit-025.png,"2"
beam subdivisions quaver unit-026.png,"2"
beam subdivisions quaver unit-027.png,"2"
beam subdivisions quaver unit-028.png,"2"
beam subdivisions quaver unit-029.png,"2"
beam subdivisions quaver unit-030.png,"2"
beam subdivisions quaver unit-031.png,"2"
beam subdivisions quaver unit-032.png,"2"
beam subdivisions quaver unit-033.png,"2"
beam subdivisions quaver unit-034.png,"2"
beam subdivisions quaver unit-035.png,"2"
beam subdivisions quaver unit-036.png,"2"
beam subdivisions quaver unit-037.png,"2"
beam subdivisions quaver unit-038.png,"2"
