filename,measure
syncopation 1b-001.png,"1"
syncopation 1b-002.png,"5"
syncopation 1b-003.png,"9"
syncopation 1b-004.png,"13"
syncopation 1b-005.png,"17"
syncopation 1b-006.png,"21"
syncopation 1b-007.png,"25"
syncopation 1b-008.png,"29"
syncopation 1b-009.png,"32"
syncopation 1b-010.png,"35"
syncopation 1b-011.png,"38"
syncopation 1b-012.png,"41"
syncopation 1b-013.png,"45"
syncopation 1b-014.png,"49"
syncopation 1b-015.png,"53"
syncopation 1b-016.png,"56"
syncopation 1b-017.png,"58"
syncopation 1b-018.png,"60"
syncopation 1b-019.png,"62"
syncopation 1b-020.png,"64"
syncopation 1b-021.png,"66"
syncopation 1b-022.png,"68"
syncopation 1b-023.png,"70"
syncopation 1b-024.png,"72"
syncopation 1b-025.png,"74"
syncopation 1b-026.png,"76"
syncopation 1b-027.png,"78"
syncopation 1b-028.png,"80"
syncopation 1b-029.png,"82"
